"","id","dam","sire","sex","dna","sire_dna","dam_dna","year","has_dna","par_rel","par_dna","fullsibs","sibships","depth","color","affected","family"
"45","9527","5983","8221","female","KL120352","KL100102","KL751",2012,1,0,TRUE,4,NA,2,1,0,6
"46","9469","8368","8221","female","KL120256","KL100102","KL100435",2012,1,0,TRUE,3,NA,3,1,0,6
"47","9470","8368","8221","female","KL120257","KL100102","KL100435",2012,1,0,TRUE,3,NA,3,1,0,6
"48","9471","8368","8221","male","KL120258","KL100102","KL100435",2012,1,0,TRUE,3,NA,3,1,0,6
"49","5700",NA,NA,"female","KL591","KL428","KL506",2006,1,0,FALSE,0,NA,1,1,0,6
"50","6057",NA,NA,"male","SU672","DS","SU440",2007,1,0,FALSE,NA,NA,NA,1,0,4
"51","6248",NA,NA,"female","KL080243","KL428","KL506",2008,1,0,FALSE,0,4,1,1,0,6
"52","6450",NA,NA,"female","KL090172","KL695","KL506",2009,1,0,FALSE,0,NA,4,1,0,6
"53","6451",NA,NA,"female","KL090174","KL695","KL506",2009,1,0,FALSE,0,NA,4,1,0,8
"54","8484",NA,NA,"female","SU100316","SU100109","SU376",2010,1,0,FALSE,0,3,2,1,0,12
"55","8486",NA,NA,"female","SU100318","SU100122","SU376",2010,1,0,FALSE,0,5,2,1,0,12
"56","6549",NA,NA,"female","SU090141","DS","SU678",2009,1,0,FALSE,NA,NA,NA,1,0,4
"57","8247","5700","6410","female","KL100155","KL090276","KL591",2010,1,0,TRUE,4,NA,2,1,0,6
"58","8295","6450","6410","male","KL100259","KL090276","KL090172",2010,1,0,TRUE,5,NA,5,1,0,6
"59","8298","6450","8221","female","KL100262","KL100102","KL090172",2010,1,0,TRUE,1,3,5,1,0,6
"60","8317","6248","8221","female","KL100334","KL100102","KL080243",2010,1,0,TRUE,4,NA,2,1,0,6
"61","8318","6248","8221","female","KL100335","KL100102","KL080243",2010,1,0,TRUE,4,NA,2,1,0,6
"62","8319","6248","8221","male","KL100336","KL100102","KL080243",2010,1,0,TRUE,4,NA,2,1,0,6
"63","8320","6248","8221","female","KL100337","KL100102","KL080243",2010,1,0,TRUE,4,1,2,1,0,6
"64","8330","5700","6410","male","KL100350","KL090276","KL591",2010,1,0,TRUE,4,NA,2,1,0,6
"65","8331","5700","6410","female","KL100351","KL090276","KL591",2010,1,0,TRUE,4,NA,2,1,0,6
"66","8332","5700","6410","male","KL100352","KL090276","KL591",2010,1,0,TRUE,4,NA,2,1,0,6
"67","8353","6451","8219","male","KL100414","KL110450","KL090174",2010,1,0,TRUE,5,NA,5,1,0,8
"68","8354","6451","8225","female","KL100415","KL100109","KL090174",2010,1,0,TRUE,4,NA,5,1,0,8
"69","8355","6451","8219","female","KL100416","KL110450","KL090174",2010,1,0,TRUE,5,NA,5,1,0,8
"70","8356","6451","8219","female","KL100417","KL110450","KL090174",2010,1,0,TRUE,5,4,5,1,0,8
"71","8357","6451","8219","female","KL100418","KL110450","KL090174",2010,1,0,TRUE,5,NA,5,1,0,8
"72","8358","6450","6410","male","KL100419","KL090276","KL090172",2010,1,0,TRUE,5,NA,5,1,0,6
"73","8359","6450","6410","female","KL100420","KL090276","KL090172",2010,1,0,TRUE,5,NA,5,1,0,6
"74","8360","6450","6410","male","KL100421","KL090276","KL090172",2010,1,0,TRUE,5,NA,5,1,0,6
"75","8361","6450","6410","female","KL100422","KL090276","KL090172",2010,1,0,TRUE,5,NA,5,1,0,6
"76","9045","5700","9015","male","KL110373","KL110109","KL591",2011,1,0,TRUE,3,NA,2,1,0,6
"77","9046","5700","9015","male","KL110374","KL110109","KL591",2011,1,0,TRUE,3,1,2,1,0,6
"78","9047","5700","9015","male","KL110375","KL110109","KL591",2011,1,0,TRUE,3,NA,2,1,0,6
"79","9081","6451","8225","male","KL110236","KL100109","KL090174",2011,1,0,TRUE,4,NA,5,1,0,8
"80","9083","6451","8219","female","KL110238","KL110450","KL090174",2011,1,0,TRUE,5,NA,5,1,0,8
"81","9245","8486","9194","female","SU110165","SU110109","SU100318",2011,1,0,TRUE,5,NA,3,1,0,12
"82","9478","6451","8225","female","KL120275","KL100109","KL090174",2012,1,0,TRUE,4,NA,5,1,0,8
"83","9479","6451","8225","female","KL120276","KL100109","KL090174",2012,1,0,TRUE,4,NA,5,1,0,8
"84","9619","8486","9194","female","SU120210","SU110109","SU100318",2012,1,0,TRUE,5,NA,3,1,0,12
"85","9647","8486","9194","female","SU120256","SU110109","SU100318",2012,1,0,TRUE,5,NA,3,1,0,12
"86","9648","8486","9194","female","SU120257","SU110109","SU100318",2012,1,0,TRUE,5,NA,3,1,0,12
"87","9649","8486","9194","female","SU120258","SU110109","SU100318",2012,1,0,TRUE,5,NA,3,1,0,12
"88","9663","8484","9194","female","SU120302","SU110109","SU100316",2012,1,0,TRUE,3,NA,3,1,0,12
"89","9664","8484","9194","male","SU120303","SU110109","SU100316",2012,1,0,TRUE,3,NA,3,1,0,12
"90","9665","8484","9194","female","SU120304","SU110109","SU100316",2012,1,0,TRUE,3,NA,3,1,0,12
"91","8516","6549","6057","female","SU100379","SU672","SU090141",2010,1,0.00390625,TRUE,0,3,1,1,1,4
"92","8517","6549","6057","male","SU100380","SU672","SU090141",2010,1,0.00390625,TRUE,0,5,1,1,1,4
"93","9154","8298","8308","female","KL110251","KL100304","KL100262",2011,1,0,TRUE,3,NA,6,1,0,6
"94","9155","8298","8308","female","KL110252","KL100304","KL100262",2011,1,0,TRUE,3,NA,6,1,0,6
"95","9156","8298","8308","male","KL110255","KL100304","KL100262",2011,1,0,TRUE,3,NA,6,1,0,6
"96","9160","8356","8379","female","KL110328","KL100447","KL100417",2011,1,0,TRUE,4,NA,6,1,0,8
"97","9468","8298","9028","female","KL120243","KL110327","KL100262",2012,1,0,TRUE,3,NA,6,1,0,6
"98","9504","8356","8379","male","KL120329","KL100447","KL100417",2012,1,0,TRUE,4,NA,6,1,0,8
"99","9505","8356","8379","male","KL120330","KL100447","KL100417",2012,1,0,TRUE,4,NA,6,1,0,8
"100","9506","8356","8379","female","KL120331","KL100447","KL100417",2012,1,0,TRUE,4,NA,6,1,0,8
"101","9513","9083","8225","male","KL120338","KL100109","KL110238",2012,1,0,TRUE,3,NA,6,1,0,8
"102","9514","9083","8225","male","KL120339","KL100109","KL110238",2012,1,0,TRUE,3,NA,6,1,0,8
"103","9515","9083","8225","female","KL120340","KL100109","KL110238",2012,1,0,TRUE,3,NA,6,1,0,8
"104","9517","8298","9028","male","KL120342","KL110327","KL100262",2012,1,0,TRUE,3,NA,6,1,0,6
"105","9518","8298","9028","female","KL120343","KL110327","KL100262",2012,1,0,TRUE,3,NA,6,1,0,6
"106","9259","8516","9191","male","SU110233","SU110103","SU100379",2011,1,0,TRUE,3,NA,2,1,0,4
"107","9496","6124","8517","female","KL120322","SU100380","KL080371",2012,1,0,TRUE,3,NA,2,1,0,4
"108","9497","6124","8517","female","KL120323","SU100380","KL080371",2012,1,0,TRUE,3,NA,2,1,0,4
"109","9499","6124","8517","male","KL120325","SU100380","KL080371",2012,1,0,TRUE,3,NA,2,1,0,4
"110","9565","8301","8517","male","KL120434","SU100380","KL100265",2012,1,0,TRUE,5,NA,2,1,0,4
"111","9566","8301","8517","female","KL120435","SU100380","KL100265",2012,1,0,TRUE,5,NA,2,1,0,4
"112","9567","8301","8517","male","KL120436","SU100380","KL100265",2012,1,0,TRUE,5,NA,2,1,0,4
"113","9568","8301","8517","female","KL120437","SU100380","KL100265",2012,1,0,TRUE,5,NA,2,1,0,4
"114","9569","8301","8517","male","KL120438","SU100380","KL100265",2012,1,0,TRUE,5,NA,2,1,0,4
"115","9627","8516","9191","male","SU120220","SU110103","SU100379",2012,1,0,TRUE,3,NA,2,1,0,4
"116","9628","8516","9191","female","SU120221","SU110103","SU100379",2012,1,0,TRUE,3,NA,2,1,0,4
=======
<<<<<<< HEAD
"1","5508",NA,NA,"female","KL659",NA,NA,2006,1,NA,FALSE,NA,NA,NA,1,NA,1
"2","5510",NA,NA,"male","KL661",NA,NA,2006,1,NA,FALSE,NA,3,NA,1,NA,1
"3","5717",NA,NA,"male","KL668",NA,NA,2007,1,NA,FALSE,NA,3,NA,1,NA,3
"4","6124",NA,NA,"female","KL080371",NA,NA,2008,1,NA,FALSE,NA,5,NA,1,NA,5
"5","6139",NA,NA,"male","KL080258",NA,NA,2007,1,NA,FALSE,NA,3,NA,1,NA,6
"6","6410",NA,NA,"male","KL090276",NA,NA,2009,1,NA,FALSE,NA,5,NA,1,NA,1
"7","6414",NA,NA,"male","KL090317",NA,NA,2009,1,NA,FALSE,NA,NA,NA,1,NA,1
"8","6557",NA,NA,"female","SU090215",NA,NA,2009,1,NA,FALSE,NA,3,NA,1,NA,7
"9","8219",NA,NA,"male","KL110450",NA,NA,2008,1,NA,FALSE,NA,5,NA,1,NA,8
"10","8221",NA,NA,"male","KL100102",NA,NA,2010,1,NA,FALSE,NA,NA,NA,1,NA,1
"11","8225",NA,NA,"male","KL100109",NA,NA,2010,1,NA,FALSE,NA,NA,NA,1,NA,8
"12","8232",NA,NA,"male","KL100124",NA,NA,2010,1,NA,FALSE,NA,5,NA,1,NA,9
"13","8244",NA,NA,"male","KL100147",NA,NA,2010,1,NA,FALSE,NA,7,NA,1,NA,10
"14","8405",NA,NA,"female","SU100114",NA,NA,2010,1,NA,FALSE,NA,NA,NA,1,NA,11
"15","8415",NA,NA,"male","SU100133",NA,NA,2010,1,NA,FALSE,NA,NA,NA,1,NA,7
"16","9014",NA,NA,"male","KL110106",NA,NA,2011,1,NA,FALSE,NA,4,NA,1,NA,6
"17","9015",NA,NA,"male","KL110109",NA,NA,2011,1,NA,FALSE,NA,3,NA,1,NA,1
"18","9028",NA,NA,"male","KL110327",NA,NA,2011,1,NA,FALSE,NA,3,NA,1,NA,1
"19","9191",NA,NA,"male","SU110103",NA,NA,2011,1,NA,FALSE,NA,3,NA,1,NA,5
"20","9194",NA,NA,"male","SU110109",NA,NA,2011,1,NA,FALSE,NA,5,NA,1,NA,12
"21","9198",NA,NA,"male","SU110122",NA,NA,2011,1,NA,FALSE,NA,NA,NA,1,NA,7
"22","9202",NA,NA,"male","SU110155",NA,NA,2011,1,NA,FALSE,NA,2,NA,1,NA,11
"23","6284","5508","5510","male","KL080249","KL661","KL659",2008,1,0,TRUE,3,1,1,1,0,1
"24","6417",NA,NA,"female","LL080163",NA,"LL212",2008,1,NA,FALSE,NA,3,NA,1,NA,3
"25","6430",NA,NA,"female","KL090245","DS","KL090101",2009,1,0,FALSE,NA,2,NA,1,0,1
"26","8379",NA,NA,"male","KL100447","KL635",NA,2010,1,NA,FALSE,NA,NA,NA,1,NA,8
"27","8478","6557","8415","female","SU100310","SU100133","SU090215",2010,1,0,TRUE,3,3,1,1,0,7
"28","5909",NA,NA,"female","KL677","KL637","KL215",2007,1,0,FALSE,0,NA,2,1,0,6
"29","5954",NA,NA,"female","KL722","KL242","KL640",2007,1,0.25,FALSE,0,NA,1,1,1,10
"30","6203",NA,NA,"male","KL080246","KL409","KL090112",2008,1,0,FALSE,NA,6,NA,1,0,5
"31","6500","6417","5717","male","KL090305","KL668","LL080163",2009,1,0,TRUE,3,3,1,1,0,3
"32","8301",NA,NA,"female","KL100265","KL638","KL100141",2010,1,0,FALSE,0,6,1,1,0,5
"33","8308","6430","6284","male","KL100304","KL080249","KL090245",2010,1,0,TRUE,1,NA,2,1,0,1
"34","9606","8478","9198","female","SU120172","SU110122","SU100310",2012,1,0,TRUE,3,NA,2,1,0,7
"35","9607","8478","9198","male","SU120173","SU110122","SU100310",2012,1,0,TRUE,3,NA,2,1,0,7
"36","9608","8478","9198","male","SU120174","SU110122","SU100310",2012,1,0,TRUE,3,NA,2,1,0,7
"37","5983",NA,NA,"female","KL751","KL482","KL421",2007,1,0,FALSE,0,NA,1,1,0,1
"38","6445",NA,NA,"female","KL090242","DS","KL415",2009,1,0,FALSE,NA,3,NA,1,0,3
"39","8346","5954","8244","female","KL100407","KL100147","KL722",2010,1,0,TRUE,7,NA,2,1,0,10
"40","8347","5954","8244","male","KL100408","KL100147","KL722",2010,1,0,TRUE,7,NA,2,1,0,10
"41","8348","5954","8244","female","KL100409","KL100147","KL722",2010,1,0,TRUE,7,2,2,1,0,10
"42","8349","5954","8244","male","KL100410","KL100147","KL722",2010,1,0,TRUE,7,NA,2,1,0,10
"43","8350","5954","8244","male","KL100411","KL100147","KL722",2010,1,0,TRUE,7,NA,2,1,0,10
"44","8351","5954","8244","female","KL100412","KL100147","KL722",2010,1,0,TRUE,7,1,2,1,0,10
"45","8352","5954","8244","male","KL100413","KL100147","KL722",2010,1,0,TRUE,7,NA,2,1,0,10
"46","8511",NA,NA,"male","SU100374","DS","SU649",2010,1,0,FALSE,0,3,1,1,0,11
"47","9055","5909","6139","male","KL110168","KL080258","KL677",2011,1,0,TRUE,3,NA,3,1,0,6
"48","9056","5909","6139","male","KL110169","KL080258","KL677",2011,1,0,TRUE,3,NA,3,1,0,6
"49","9057","5909","6139","female","KL110170","KL080258","KL677",2011,1,0,TRUE,3,NA,3,1,0,6
"50","9123","8301","6203","male","KL110310","KL080246","KL100265",2011,1,0,TRUE,6,NA,2,1,0,5
"51","9124","8301","6203","female","KL110311","KL080246","KL100265",2011,1,0,TRUE,6,NA,2,1,0,5
"52","9125","8301","6203","female","KL110312","KL080246","KL100265",2011,1,0,TRUE,6,NA,2,1,0,5
"53","9126","8301","6203","female","KL110313","KL080246","KL100265",2011,1,0,TRUE,6,NA,2,1,0,5
"54","9434","8301","6203","female","KL120144","KL080246","KL100265",2012,1,0,TRUE,6,NA,2,1,0,5
"55","9436","8301","6203","female","KL120146","KL080246","KL100265",2012,1,0,TRUE,6,NA,2,1,0,5
"56","9550","5909","9014","female","KL120415","KL110106","KL677",2012,1,0,TRUE,3,NA,3,1,0,6
"57","9551","5909","9014","male","KL120416","KL110106","KL677",2012,1,0,TRUE,3,NA,3,1,0,6
"58","9552","5909","9014","female","KL120417","KL110106","KL677",2012,1,0,TRUE,3,NA,3,1,0,6
"59","8235","5983","6414","female","KL100136","KL090317","KL751",2010,1,0,TRUE,9,NA,2,1,0,1
"60","8237","5983","6414","male","KL100138","KL090317","KL751",2010,1,0,TRUE,9,NA,2,1,0,1
"61","8333","5983","6414","male","KL100355","KL090317","KL751",2010,1,0,TRUE,9,NA,2,1,0,1
"62","8363","6445","6500","female","KL100424","KL090305","KL090242",2010,1,0,TRUE,3,2,2,1,0,3
"63","8364","6445","6500","female","KL100425","KL090305","KL090242",2010,1,0,TRUE,3,NA,2,1,0,3
"64","8365","6445","6500","female","KL100426","KL090305","KL090242",2010,1,0,TRUE,3,NA,2,1,0,3
"65","8368","5983","6414","female","KL100435","KL090317","KL751",2010,1,0,TRUE,9,NA,2,1,0,1
"66","9049","5983","6414","female","KL110322","KL090317","KL751",2011,1,0,TRUE,9,NA,2,1,0,1
"67","9050","5983","6414","female","KL110323","KL090317","KL751",2011,1,0,TRUE,9,NA,2,1,0,1
"68","9051","5983","6414","female","KL110324","KL090317","KL751",2011,1,0,TRUE,9,NA,2,1,0,1
"69","9052","5983","6414","female","KL110325","KL090317","KL751",2011,1,0,TRUE,9,NA,2,1,0,1
"70","9053","5983","6414","female","KL110326","KL090317","KL751",2011,1,0,TRUE,9,NA,2,1,0,1
"71","9524","5983","8221","male","KL120349","KL100102","KL751",2012,1,0,TRUE,4,NA,2,1,0,1
"72","9525","5983","8221","male","KL120350","KL100102","KL751",2012,1,0,TRUE,4,NA,2,1,0,1
"73","9526","5983","8221","male","KL120351","KL100102","KL751",2012,1,0,TRUE,4,NA,2,1,0,1
"74","9527","5983","8221","female","KL120352","KL100102","KL751",2012,1,0,TRUE,4,NA,2,1,0,1
"75","9469","8368","8221","female","KL120256","KL100102","KL100435",2012,1,0,TRUE,3,NA,3,1,0,1
"76","9470","8368","8221","female","KL120257","KL100102","KL100435",2012,1,0,TRUE,3,NA,3,1,0,1
"77","9471","8368","8221","male","KL120258","KL100102","KL100435",2012,1,0,TRUE,3,NA,3,1,0,1
"78","5700",NA,NA,"female","KL591","KL428","KL506",2006,1,0,FALSE,0,NA,1,1,0,1
"79","6057",NA,NA,"male","SU672","DS","SU440",2007,1,0,FALSE,NA,NA,NA,1,0,5
"80","6058",NA,NA,"male","SU673","DS","SU440",2007,1,0,FALSE,0,2,1,1,0,11
"81","6248",NA,NA,"female","KL080243","KL428","KL506",2008,1,0,FALSE,0,4,1,1,0,1
"82","6450",NA,NA,"female","KL090172","KL695","KL506",2009,1,0,FALSE,0,NA,4,1,0,1
"83","6451",NA,NA,"female","KL090174","KL695","KL506",2009,1,0,FALSE,0,NA,4,1,0,8
"84","8484",NA,NA,"female","SU100316","SU100109","SU376",2010,1,0,FALSE,0,3,2,1,0,12
"85","8486",NA,NA,"female","SU100318","SU100122","SU376",2010,1,0,FALSE,0,5,2,1,0,12
"86","6465",NA,NA,"female","KL090202","KL428","KL591",2009,1,0.25,FALSE,0,5,2,1,1,9
"87","6549",NA,NA,"female","SU090141","DS","SU678",2009,1,0,FALSE,NA,NA,NA,1,0,5
"88","8247","5700","6410","female","KL100155","KL090276","KL591",2010,1,0,TRUE,4,NA,2,1,0,1
"89","8295","6450","6410","male","KL100259","KL090276","KL090172",2010,1,0,TRUE,5,NA,5,1,0,1
"90","8298","6450","8221","female","KL100262","KL100102","KL090172",2010,1,0,TRUE,1,3,5,1,0,1
"91","8317","6248","8221","female","KL100334","KL100102","KL080243",2010,1,0,TRUE,4,NA,2,1,0,1
"92","8318","6248","8221","female","KL100335","KL100102","KL080243",2010,1,0,TRUE,4,NA,2,1,0,1
"93","8319","6248","8221","male","KL100336","KL100102","KL080243",2010,1,0,TRUE,4,NA,2,1,0,1
"94","8320","6248","8221","female","KL100337","KL100102","KL080243",2010,1,0,TRUE,4,1,2,1,0,1
"95","8330","5700","6410","male","KL100350","KL090276","KL591",2010,1,0,TRUE,4,NA,2,1,0,1
"96","8331","5700","6410","female","KL100351","KL090276","KL591",2010,1,0,TRUE,4,NA,2,1,0,1
"97","8332","5700","6410","male","KL100352","KL090276","KL591",2010,1,0,TRUE,4,NA,2,1,0,1
"98","8353","6451","8219","male","KL100414","KL110450","KL090174",2010,1,0,TRUE,5,NA,5,1,0,8
"99","8354","6451","8225","female","KL100415","KL100109","KL090174",2010,1,0,TRUE,4,NA,5,1,0,8
"100","8355","6451","8219","female","KL100416","KL110450","KL090174",2010,1,0,TRUE,5,NA,5,1,0,8
"101","8356","6451","8219","female","KL100417","KL110450","KL090174",2010,1,0,TRUE,5,4,5,1,0,8
"102","8357","6451","8219","female","KL100418","KL110450","KL090174",2010,1,0,TRUE,5,NA,5,1,0,8
"103","8358","6450","6410","male","KL100419","KL090276","KL090172",2010,1,0,TRUE,5,NA,5,1,0,1
"104","8359","6450","6410","female","KL100420","KL090276","KL090172",2010,1,0,TRUE,5,NA,5,1,0,1
"105","8360","6450","6410","male","KL100421","KL090276","KL090172",2010,1,0,TRUE,5,NA,5,1,0,1
"106","8361","6450","6410","female","KL100422","KL090276","KL090172",2010,1,0,TRUE,5,NA,5,1,0,1
"107","8466","8405","6058","female","SU100265","SU673","SU100114",2010,1,0,TRUE,2,NA,2,1,0,11
"108","9045","5700","9015","male","KL110373","KL110109","KL591",2011,1,0,TRUE,3,NA,2,1,0,1
"109","9046","5700","9015","male","KL110374","KL110109","KL591",2011,1,0,TRUE,3,1,2,1,0,1
"110","9047","5700","9015","male","KL110375","KL110109","KL591",2011,1,0,TRUE,3,NA,2,1,0,1
"111","9081","6451","8225","male","KL110236","KL100109","KL090174",2011,1,0,TRUE,4,NA,5,1,0,8
"112","9083","6451","8219","female","KL110238","KL110450","KL090174",2011,1,0,TRUE,5,NA,5,1,0,8
"113","9245","8486","9194","female","SU110165","SU110109","SU100318",2011,1,0,TRUE,5,NA,3,1,0,12
"114","9478","6451","8225","female","KL120275","KL100109","KL090174",2012,1,0,TRUE,4,NA,5,1,0,8
"115","9479","6451","8225","female","KL120276","KL100109","KL090174",2012,1,0,TRUE,4,NA,5,1,0,8
"116","9619","8486","9194","female","SU120210","SU110109","SU100318",2012,1,0,TRUE,5,NA,3,1,0,12
"117","9647","8486","9194","female","SU120256","SU110109","SU100318",2012,1,0,TRUE,5,NA,3,1,0,12
"118","9648","8486","9194","female","SU120257","SU110109","SU100318",2012,1,0,TRUE,5,NA,3,1,0,12
"119","9649","8486","9194","female","SU120258","SU110109","SU100318",2012,1,0,TRUE,5,NA,3,1,0,12
"120","9663","8484","9194","female","SU120302","SU110109","SU100316",2012,1,0,TRUE,3,NA,3,1,0,12
"121","9664","8484","9194","male","SU120303","SU110109","SU100316",2012,1,0,TRUE,3,NA,3,1,0,12
"122","9665","8484","9194","female","SU120304","SU110109","SU100316",2012,1,0,TRUE,3,NA,3,1,0,12
"123","8380","6465","8232","male","KL100448","KL100124","KL090202",2010,1,0,TRUE,5,NA,3,1,0,9
"124","8381","6465","8232","male","KL100449","KL100124","KL090202",2010,1,0,TRUE,5,NA,3,1,0,9
"125","8382","6465","8232","male","KL100450","KL100124","KL090202",2010,1,0,TRUE,5,NA,3,1,0,9
"126","8516","6549","6057","female","SU100379","SU672","SU090141",2010,1,0.00390625,TRUE,0,3,1,1,1,5
"127","8517","6549","6057","male","SU100380","SU672","SU090141",2010,1,0.00390625,TRUE,0,5,1,1,1,5
"128","9070","6465","8232","male","KL110229","KL100124","KL090202",2011,1,0,TRUE,5,NA,3,1,0,9
"129","9072","6465","8232","female","KL110231","KL100124","KL090202",2011,1,0,TRUE,5,NA,3,1,0,9
"130","9154","8298","8308","female","KL110251","KL100304","KL100262",2011,1,0,TRUE,3,NA,6,1,0,1
"131","9155","8298","8308","female","KL110252","KL100304","KL100262",2011,1,0,TRUE,3,NA,6,1,0,1
"132","9156","8298","8308","male","KL110255","KL100304","KL100262",2011,1,0,TRUE,3,NA,6,1,0,1
"133","9160","8356","8379","female","KL110328","KL100447","KL100417",2011,1,0,TRUE,4,NA,6,1,0,8
"134","9226","8466","9202","female","SU110210","SU110155","SU100265",2011,1,0,TRUE,1,3,3,1,0,11
"135","9468","8298","9028","female","KL120243","KL110327","KL100262",2012,1,0,TRUE,3,NA,6,1,0,1
"136","9504","8356","8379","male","KL120329","KL100447","KL100417",2012,1,0,TRUE,4,NA,6,1,0,8
"137","9505","8356","8379","male","KL120330","KL100447","KL100417",2012,1,0,TRUE,4,NA,6,1,0,8
"138","9506","8356","8379","female","KL120331","KL100447","KL100417",2012,1,0,TRUE,4,NA,6,1,0,8
"139","9513","9083","8225","male","KL120338","KL100109","KL110238",2012,1,0,TRUE,3,NA,6,1,0,8
"140","9514","9083","8225","male","KL120339","KL100109","KL110238",2012,1,0,TRUE,3,NA,6,1,0,8
"141","9515","9083","8225","female","KL120340","KL100109","KL110238",2012,1,0,TRUE,3,NA,6,1,0,8
"142","9517","8298","9028","male","KL120342","KL110327","KL100262",2012,1,0,TRUE,3,NA,6,1,0,1
